Interference and Diffraction Data File Wed, Mar 02, 2022 3:36 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00094	-0.02569
0.00094	-0.02794
0.00094	-0.02778
0.00094	-0.02746
0.00094	-0.02553
0.00094	-0.02714
0.00094	-0.02891
0.00094	-0.02730
0.00094	-0.02263
0.00100	-0.02424
0.00100	-0.02166
0.00100	-0.02520
0.00100	-0.03004
0.00100	-0.02730
0.00100	-0.02343
0.00100	-0.02391
0.00100	-0.02633
0.00100	-0.02134
0.00100	-0.02633
0.00106	-0.02279
0.00106	-0.02375
0.00106	-0.02408
0.00106	-0.02198
0.00106	-0.02536
0.00106	-0.02488
0.00106	-0.02649
0.00106	-0.02488
0.00106	-0.02295
0.00111	-0.02553
0.00111	-0.02166
0.00111	-0.02730
0.00111	-0.02391
0.00111	-0.02601
0.00111	-0.02472
0.00111	-0.02311
0.00111	-0.02601
0.00111	-0.02488
0.00117	-0.02424
0.00117	-0.02988
0.00117	-0.02794
0.00117	-0.02198
0.00117	-0.02617
0.00117	-0.02569
0.00117	-0.02311
0.00117	-0.02327
0.00117	-0.02553
0.00117	-0.02714
0.00122	-0.02553
0.00122	-0.02118
0.00122	-0.02391
0.00122	-0.02730
0.00122	-0.02391
0.00122	-0.02375
0.00122	-0.02488
0.00122	-0.02617
0.00122	-0.02391
0.00128	-0.02424
0.00128	-0.02488
0.00128	-0.02730
0.00128	-0.02408
0.00128	-0.02247
0.00128	-0.02649
0.00128	-0.02730
0.00128	-0.02263
0.00128	-0.02166
0.00133	-0.02214
0.00133	-0.03149
0.00133	-0.02391
0.00133	-0.02375
0.00133	-0.02553
0.00133	-0.02440
0.00133	-0.02714
0.00133	-0.02569
0.00133	-0.02633
0.00139	-0.02230
0.00139	-0.02408
0.00139	-0.02247
0.00139	-0.02134
0.00139	-0.02343
0.00139	-0.02681
0.00139	-0.02391
0.00139	-0.02536
0.00139	-0.02617
0.00144	-0.02536
0.00144	-0.02295
0.00144	-0.02472
0.00144	-0.02681
0.00144	-0.02279
0.00144	-0.02730
0.00144	-0.02955
0.00144	-0.02359
0.00144	-0.02134
0.00144	-0.02617
0.00150	-0.02633
0.00150	-0.02472
0.00150	-0.02794
0.00150	-0.02794
0.00150	-0.02295
0.00150	-0.02504
0.00150	-0.02553
0.00150	-0.02472
0.00150	-0.02182
0.00156	-0.02150
0.00156	-0.02263
0.00156	-0.02391
0.00156	-0.02456
0.00156	-0.02182
0.00156	-0.02359
0.00156	-0.02536
0.00156	-0.03004
0.00156	-0.02520
0.00161	-0.02359
0.00161	-0.02665
0.00161	-0.02617
0.00161	-0.02569
0.00161	-0.02778
0.00161	-0.02279
0.00161	-0.02102
0.00161	-0.02424
0.00161	-0.02585
0.00167	-0.03116
0.00167	-0.02520
0.00167	-0.02730
0.00167	-0.02810
0.00167	-0.02585
0.00167	-0.02327
0.00167	-0.02714
0.00167	-0.03004
0.00167	-0.02408
0.00167	-0.02166
0.00172	-0.02746
0.00172	-0.02424
0.00172	-0.02826
0.00172	-0.02214
0.00172	-0.02456
0.00172	-0.02375
0.00172	-0.02488
0.00172	-0.02698
0.00172	-0.02504
0.00178	-0.02408
0.00178	-0.02488
0.00178	-0.02665
0.00178	-0.02585
0.00178	-0.02585
0.00178	-0.02327
0.00178	-0.02939
0.00178	-0.02843
0.00178	-0.02311
0.00178	-0.02536
0.00183	-0.02311
0.00183	-0.02907
0.00183	-0.02633
0.00183	-0.03036
0.00183	-0.02698
0.00183	-0.02247
0.00183	-0.02247
0.00183	-0.02327
0.00183	-0.02553
0.00183	-0.02488
0.00189	-0.02633
0.00189	-0.02263
0.00189	-0.02182
0.00189	-0.02649
0.00189	-0.02698
0.00189	-0.02665
0.00189	-0.01989
0.00189	-0.02214
0.00189	-0.02504
0.00189	-0.02520
0.00194	-0.02778
0.00194	-0.02134
0.00194	-0.02536
0.00194	-0.02714
0.00194	-0.02295
0.00194	-0.02247
0.00194	-0.02408
0.00194	-0.02617
0.00194	-0.02456
0.00200	-0.02440
0.00200	-0.02182
0.00200	-0.03036
0.00200	-0.02375
0.00200	-0.02553
0.00200	-0.02536
0.00200	-0.02762
0.00200	-0.02214
0.00200	-0.02440
0.00200	-0.02424
0.00206	-0.02601
0.00206	-0.02875
0.00206	-0.02279
0.00206	-0.02504
0.00206	-0.02311
0.00206	-0.02343
0.00206	-0.02182
0.00206	-0.02617
0.00206	-0.02279
0.00206	-0.02440
0.00206	-0.02005
0.00211	-0.02166
0.00211	-0.02166
0.00211	-0.02649
0.00211	-0.02295
0.00211	-0.02569
0.00211	-0.02730
0.00211	-0.02762
0.00211	-0.02633
0.00211	-0.02601
0.00211	-0.02343
0.00217	-0.02311
0.00217	-0.02504
0.00217	-0.02295
0.00217	-0.02327
0.00217	-0.02520
0.00217	-0.02311
0.00217	-0.02681
0.00217	-0.02681
0.00217	-0.02182
0.00222	-0.02536
0.00222	-0.02424
0.00222	-0.02520
0.00222	-0.02649
0.00222	-0.02585
0.00222	-0.02214
0.00222	-0.02279
0.00222	-0.02456
0.00222	-0.02327
0.00222	-0.02295
0.00228	-0.02118
0.00228	-0.02585
0.00228	-0.02826
0.00228	-0.01924
0.00228	-0.02536
0.00228	-0.01908
0.00228	-0.02520
0.00228	-0.02569
0.00228	-0.02343
0.00228	-0.02794
0.00228	-0.02311
0.00233	-0.02440
0.00233	-0.02102
0.00233	-0.02375
0.00233	-0.01957
0.00233	-0.02053
0.00233	-0.02553
0.00233	-0.02601
0.00233	-0.02440
0.00233	-0.01957
0.00239	-0.02327
0.00239	-0.02295
0.00239	-0.02134
0.00239	-0.02520
0.00239	-0.02488
0.00239	-0.02230
0.00239	-0.02601
0.00239	-0.02375
0.00239	-0.02311
0.00239	-0.02520
0.00244	-0.02214
0.00244	-0.02214
0.00244	-0.02730
0.00244	-0.02053
0.00244	-0.02214
0.00244	-0.02617
0.00244	-0.02569
0.00244	-0.02263
0.00244	-0.02263
0.00244	-0.02859
0.00250	-0.02343
0.00250	-0.02601
0.00250	-0.02391
0.00250	-0.02182
0.00250	-0.02472
0.00250	-0.02665
0.00250	-0.02247
0.00250	-0.02279
0.00250	-0.02810
0.00250	-0.02826
0.00250	-0.02327
0.00256	-0.02391
0.00256	-0.02166
0.00256	-0.02359
0.00256	-0.02375
0.00256	-0.01957
0.00256	-0.02359
0.00256	-0.02359
0.00256	-0.02520
0.00256	-0.02391
0.00261	-0.02102
0.00261	-0.02263
0.00261	-0.02021
0.00261	-0.02391
0.00261	-0.02424
0.00261	-0.02585
0.00261	-0.02375
0.00261	-0.02649
0.00261	-0.02569
0.00261	-0.02440
0.00267	-0.02472
0.00267	-0.02375
0.00267	-0.02069
0.00267	-0.02359
0.00267	-0.02134
0.00267	-0.02279
0.00267	-0.02311
0.00267	-0.02166
0.00267	-0.02698
0.00267	-0.02520
0.00267	-0.02665
0.00272	-0.02230
0.00272	-0.02327
0.00272	-0.02166
0.00272	-0.01924
0.00272	-0.02053
0.00272	-0.02585
0.00272	-0.01940
0.00272	-0.02085
0.00272	-0.02456
0.00272	-0.02359
0.00278	-0.02408
0.00278	-0.02247
0.00278	-0.02520
0.00278	-0.02166
0.00278	-0.01924
0.00278	-0.02134
0.00278	-0.02069
0.00278	-0.02279
0.00278	-0.02488
0.00278	-0.02408
0.00283	-0.02504
0.00283	-0.02843
0.00283	-0.02263
0.00283	-0.02198
0.00283	-0.02665
0.00283	-0.02601
0.00283	-0.02069
0.00283	-0.02456
0.00283	-0.02375
0.00289	-0.02553
0.00289	-0.02150
0.00289	-0.02166
0.00289	-0.02037
0.00289	-0.02601
0.00289	-0.02553
0.00289	-0.02762
0.00289	-0.02327
0.00289	-0.02408
0.00289	-0.01989
0.00289	-0.02536
0.00294	-0.02553
0.00294	-0.02069
0.00294	-0.02150
0.00294	-0.02520
0.00294	-0.01940
0.00294	-0.02311
0.00294	-0.02488
0.00294	-0.02279
0.00294	-0.02649
0.00300	-0.02440
0.00300	-0.01940
0.00300	-0.02150
0.00300	-0.02633
0.00300	-0.02263
0.00300	-0.01957
0.00300	-0.01908
0.00300	-0.02230
0.00300	-0.02214
0.00300	-0.02601
0.00306	-0.02134
0.00306	-0.01747
0.00306	-0.01860
0.00306	-0.02021
0.00306	-0.01860
0.00306	-0.02408
0.00306	-0.02859
0.00306	-0.02601
0.00306	-0.02391
0.00311	-0.02279
0.00311	-0.01892
0.00311	-0.02069
0.00311	-0.02488
0.00311	-0.02440
0.00311	-0.02826
0.00311	-0.02166
0.00311	-0.02118
0.00311	-0.02214
0.00311	-0.02472
0.00311	-0.02247
0.00317	-0.01973
0.00317	-0.02005
0.00317	-0.02375
0.00317	-0.01908
0.00317	-0.01812
0.00317	-0.02279
0.00317	-0.02214
0.00317	-0.02053
0.00322	-0.01860
0.00322	-0.01747
0.00322	-0.02118
0.00322	-0.01844
0.00322	-0.02102
0.00322	-0.01731
0.00322	-0.02005
0.00322	-0.02681
0.00322	-0.01892
0.00322	-0.02102
0.00328	-0.02585
0.00328	-0.02037
0.00328	-0.02037
0.00328	-0.02230
0.00328	-0.02456
0.00328	-0.02247
0.00328	-0.01957
0.00328	-0.01957
0.00328	-0.02472
0.00333	-0.01957
0.00333	-0.01892
0.00333	-0.01908
0.00333	-0.01973
0.00333	-0.02762
0.00333	-0.01957
0.00333	-0.01812
0.00333	-0.02247
0.00333	-0.02327
0.00333	-0.02408
0.00339	-0.02424
0.00339	-0.02230
0.00339	-0.02214
0.00339	-0.02311
0.00339	-0.02440
0.00339	-0.01924
0.00339	-0.02069
0.00339	-0.01828
0.00339	-0.02247
0.00344	-0.02633
0.00344	-0.02343
0.00344	-0.02118
0.00344	-0.02279
0.00344	-0.02230
0.00344	-0.01812
0.00344	-0.01973
0.00344	-0.02069
0.00344	-0.02182
0.00350	-0.01860
0.00350	-0.02343
0.00350	-0.02295
0.00350	-0.02182
0.00350	-0.02053
0.00350	-0.02472
0.00350	-0.02021
0.00350	-0.02166
0.00350	-0.02005
0.00350	-0.02134
0.00356	-0.02295
0.00356	-0.02037
0.00356	-0.02327
0.00356	-0.02182
0.00356	-0.02311
0.00356	-0.02053
0.00356	-0.02247
0.00356	-0.02279
0.00356	-0.02069
0.00361	-0.02198
0.00361	-0.02343
0.00361	-0.02214
0.00361	-0.02021
0.00361	-0.02343
0.00361	-0.01989
0.00361	-0.02617
0.00361	-0.01892
0.00361	-0.01957
0.00367	-0.02408
0.00367	-0.02069
0.00367	-0.02085
0.00367	-0.02182
0.00367	-0.02166
0.00367	-0.02069
0.00367	-0.02488
0.00367	-0.01957
0.00367	-0.02488
0.00372	-0.02472
0.00372	-0.02375
0.00372	-0.01957
0.00372	-0.02005
0.00372	-0.02102
0.00372	-0.02214
0.00372	-0.02263
0.00372	-0.02069
0.00372	-0.02520
0.00372	-0.02102
0.00378	-0.01989
0.00378	-0.02891
0.00378	-0.02085
0.00378	-0.02617
0.00378	-0.02617
0.00378	-0.01779
0.00378	-0.02102
0.00378	-0.02375
0.00378	-0.02391
0.00383	-0.02102
0.00383	-0.01892
0.00383	-0.02247
0.00383	-0.02553
0.00383	-0.02391
0.00383	-0.02198
0.00383	-0.02102
0.00383	-0.02472
0.00389	-0.02359
0.00389	-0.01957
0.00389	-0.02230
0.00389	-0.02295
0.00389	-0.02553
0.00389	-0.02391
0.00389	-0.02214
0.00389	-0.02118
0.00389	-0.02408
0.00389	-0.02005
0.00394	-0.02440
0.00394	-0.02279
0.00394	-0.02488
0.00394	-0.02118
0.00394	-0.02359
0.00394	-0.02311
0.00394	-0.02247
0.00394	-0.02085
0.00394	-0.02391
0.00394	-0.02230
0.00400	-0.02005
0.00400	-0.02166
0.00400	-0.02343
0.00400	-0.02440
0.00400	-0.01876
0.00400	-0.02214
0.00400	-0.01989
0.00400	-0.02069
0.00400	-0.02150
0.00406	-0.02037
0.00406	-0.02391
0.00406	-0.02553
0.00406	-0.02069
0.00406	-0.02005
0.00406	-0.02520
0.00406	-0.01876
0.00406	-0.02247
0.00406	-0.01860
0.00411	-0.02536
0.00411	-0.02391
0.00411	-0.02488
0.00411	-0.02102
0.00411	-0.02488
0.00411	-0.02504
0.00411	-0.02069
0.00411	-0.02005
0.00411	-0.02714
0.00411	-0.02279
0.00417	-0.01957
0.00417	-0.01828
0.00417	-0.02311
0.00417	-0.02311
0.00417	-0.02085
0.00417	-0.02247
0.00417	-0.02263
0.00417	-0.02585
0.00417	-0.02327
0.00417	-0.01731
0.00422	-0.02069
0.00422	-0.02698
0.00422	-0.02085
0.00422	-0.02456
0.00422	-0.02214
0.00422	-0.02311
0.00422	-0.01876
0.00422	-0.02359
0.00422	-0.02440
0.00428	-0.02585
0.00428	-0.01860
0.00428	-0.01908
0.00428	-0.02134
0.00428	-0.01989
0.00428	-0.02166
0.00428	-0.01860
0.00428	-0.02166
0.00428	-0.02053
0.00428	-0.02134
0.00433	-0.02085
0.00433	-0.02214
0.00433	-0.01989
0.00433	-0.02214
0.00433	-0.02102
0.00433	-0.02504
0.00433	-0.02424
0.00433	-0.01683
0.00433	-0.02456
0.00433	-0.02102
0.00439	-0.02601
0.00439	-0.02005
0.00439	-0.01892
0.00439	-0.02085
0.00439	-0.02311
0.00439	-0.01731
0.00439	-0.02102
0.00439	-0.02810
0.00439	-0.02198
0.00439	-0.02005
0.00444	-0.02182
0.00444	-0.02150
0.00444	-0.02198
0.00444	-0.02134
0.00444	-0.02569
0.00444	-0.02085
0.00444	-0.01957
0.00444	-0.01586
0.00444	-0.02536
0.00450	-0.01940
0.00450	-0.02279
0.00450	-0.02279
0.00450	-0.02311
0.00450	-0.02327
0.00450	-0.02230
0.00450	-0.02440
0.00450	-0.01989
0.00450	-0.02166
0.00450	-0.02085
0.00456	-0.02343
0.00456	-0.01924
0.00456	-0.02118
0.00456	-0.02118
0.00456	-0.01763
0.00456	-0.02214
0.00456	-0.02102
0.00456	-0.02375
0.00456	-0.01812
0.00456	-0.02214
0.00456	-0.02053
0.00461	-0.02375
0.00461	-0.02279
0.00461	-0.01892
0.00461	-0.02520
0.00461	-0.02118
0.00461	-0.01795
0.00461	-0.02021
0.00461	-0.02263
0.00461	-0.02214
0.00461	-0.02424
0.00467	-0.01747
0.00467	-0.01957
0.00467	-0.02327
0.00467	-0.02311
0.00467	-0.02504
0.00467	-0.01973
0.00467	-0.01940
0.00467	-0.02005
0.00467	-0.01828
0.00472	-0.01908
0.00472	-0.02182
0.00472	-0.02166
0.00472	-0.01892
0.00472	-0.02053
0.00472	-0.02005
0.00472	-0.01892
0.00472	-0.01860
0.00472	-0.02214
0.00472	-0.02053
0.00478	-0.02166
0.00478	-0.01731
0.00478	-0.01715
0.00478	-0.01812
0.00478	-0.01957
0.00478	-0.02021
0.00478	-0.02488
0.00478	-0.01940
0.00478	-0.02069
0.00478	-0.02118
0.00478	-0.02182
0.00483	-0.01812
0.00483	-0.01731
0.00483	-0.02069
0.00483	-0.01908
0.00483	-0.01940
0.00483	-0.02118
0.00483	-0.02134
0.00483	-0.02085
0.00483	-0.01779
0.00489	-0.02053
0.00489	-0.02085
0.00489	-0.02359
0.00489	-0.01924
0.00489	-0.02053
0.00489	-0.02488
0.00489	-0.02053
0.00489	-0.02247
0.00489	-0.01940
0.00489	-0.02214
0.00494	-0.01699
0.00494	-0.02247
0.00494	-0.02037
0.00494	-0.01763
0.00494	-0.01924
0.00494	-0.01940
0.00494	-0.02472
0.00494	-0.01908
0.00494	-0.01989
0.00494	-0.02037
0.00500	-0.02311
0.00500	-0.02102
0.00500	-0.01973
0.00500	-0.01828
0.00500	-0.02504
0.00500	-0.01973
0.00500	-0.01860
0.00500	-0.02053
0.00500	-0.02408
0.00500	-0.01795
0.00500	-0.01989
0.00506	-0.01924
0.00506	-0.01924
0.00506	-0.01651
0.00506	-0.02520
0.00506	-0.02214
0.00506	-0.01908
0.00506	-0.02166
0.00506	-0.01908
0.00506	-0.01344
0.00506	-0.02102
0.00511	-0.02166
0.00511	-0.02359
0.00511	-0.01683
0.00511	-0.02472
0.00511	-0.02295
0.00511	-0.02391
0.00511	-0.02198
0.00511	-0.02182
0.00511	-0.01892
0.00517	-0.01940
0.00517	-0.01876
0.00517	-0.02343
0.00517	-0.02134
0.00517	-0.02214
0.00517	-0.02424
0.00517	-0.02263
0.00517	-0.02214
0.00517	-0.02375
0.00517	-0.02247
0.00517	-0.02520
0.00522	-0.02279
0.00522	-0.01828
0.00522	-0.02327
0.00522	-0.02520
0.00522	-0.01860
0.00522	-0.01924
0.00522	-0.02021
0.00522	-0.02504
0.00522	-0.02247
0.00522	-0.01908
0.00528	-0.02005
0.00528	-0.02053
0.00528	-0.02230
0.00528	-0.01554
0.00528	-0.02230
0.00528	-0.02247
0.00528	-0.01973
0.00528	-0.01924
0.00528	-0.02681
0.00533	-0.02327
0.00533	-0.02150
0.00533	-0.01940
0.00533	-0.02456
0.00533	-0.01844
0.00533	-0.02536
0.00533	-0.02279
0.00533	-0.02166
0.00533	-0.02230
0.00533	-0.01973
0.00539	-0.02359
0.00539	-0.02665
0.00539	-0.02102
0.00539	-0.01699
0.00539	-0.02214
0.00539	-0.02118
0.00539	-0.02408
0.00539	-0.02134
0.00539	-0.02230
0.00539	-0.02569
0.00539	-0.02311
0.00544	-0.02504
0.00544	-0.02021
0.00544	-0.02359
0.00544	-0.02053
0.00544	-0.02440
0.00544	-0.02214
0.00544	-0.02053
0.00544	-0.02102
0.00544	-0.02263
0.00550	-0.02118
0.00550	-0.02102
0.00550	-0.02810
0.00550	-0.02456
0.00550	-0.02118
0.00550	-0.02343
0.00550	-0.02456
0.00550	-0.01860
0.00550	-0.02375
0.00550	-0.02649
0.00556	-0.02085
0.00556	-0.02359
0.00556	-0.02037
0.00556	-0.02359
0.00556	-0.02311
0.00556	-0.02440
0.00556	-0.02343
0.00556	-0.02553
0.00556	-0.01892
0.00561	-0.02424
0.00561	-0.01779
0.00561	-0.02166
0.00561	-0.02118
0.00561	-0.02327
0.00561	-0.02102
0.00561	-0.03084
0.00561	-0.02021
0.00561	-0.02343
0.00561	-0.02617
0.00561	-0.02343
0.00567	-0.02021
0.00567	-0.02021
0.00567	-0.02247
0.00567	-0.02359
0.00567	-0.01973
0.00567	-0.02359
0.00567	-0.02359
0.00567	-0.02069
0.00567	-0.02037
0.00572	-0.02375
0.00572	-0.02553
0.00572	-0.02263
0.00572	-0.02005
0.00572	-0.02746
0.00572	-0.02150
0.00572	-0.02005
0.00572	-0.02053
0.00572	-0.02150
0.00578	-0.01860
0.00578	-0.02343
0.00578	-0.02343
0.00578	-0.01908
0.00578	-0.01989
0.00578	-0.01957
0.00578	-0.02408
0.00578	-0.01924
0.00578	-0.02150
0.00578	-0.02649
0.00583	-0.02198
0.00583	-0.02150
0.00583	-0.01957
0.00583	-0.02440
0.00583	-0.02440
0.00583	-0.01876
0.00583	-0.02150
0.00583	-0.02375
0.00583	-0.02569
0.00583	-0.02633
0.00589	-0.02553
0.00589	-0.02085
0.00589	-0.02472
0.00589	-0.02762
0.00589	-0.02859
0.00589	-0.02279
0.00589	-0.02118
0.00589	-0.02118
0.00589	-0.02166
0.00594	-0.02053
0.00594	-0.02198
0.00594	-0.02021
0.00594	-0.02665
0.00594	-0.01892
0.00594	-0.02037
0.00594	-0.02037
0.00594	-0.02665
0.00594	-0.02118
0.00594	-0.01860
0.00600	-0.02214
0.00600	-0.02408
0.00600	-0.02295
0.00600	-0.02053
0.00600	-0.02005
0.00600	-0.02553
0.00600	-0.02311
0.00600	-0.01973
0.00600	-0.02665
0.00606	-0.02440
0.00606	-0.01989
0.00606	-0.02198
0.00606	-0.02681
0.00606	-0.01876
0.00606	-0.02424
0.00606	-0.02569
0.00606	-0.02681
0.00606	-0.01860
0.00606	-0.01908
0.00611	-0.02247
0.00611	-0.02456
0.00611	-0.02730
0.00611	-0.02536
0.00611	-0.02488
0.00611	-0.02102
0.00611	-0.02247
0.00611	-0.02391
0.00611	-0.02263
0.00617	-0.02150
0.00617	-0.02150
0.00617	-0.02536
0.00617	-0.02118
0.00617	-0.02037
0.00617	-0.02746
0.00617	-0.01763
0.00617	-0.02005
0.00617	-0.02214
0.00622	-0.02198
0.00622	-0.01940
0.00622	-0.02472
0.00622	-0.02118
0.00622	-0.01989
0.00622	-0.02633
0.00622	-0.02150
0.00622	-0.02166
0.00622	-0.02391
0.00622	-0.02134
0.00628	-0.02472
0.00628	-0.02085
0.00628	-0.02279
0.00628	-0.02327
0.00628	-0.02762
0.00628	-0.02633
0.00628	-0.01957
0.00628	-0.02343
0.00628	-0.02762
0.00633	-0.02311
0.00633	-0.02375
0.00633	-0.01940
0.00633	-0.01924
0.00633	-0.02247
0.00633	-0.02375
0.00633	-0.01908
0.00633	-0.02230
0.00633	-0.02456
0.00639	-0.02488
0.00639	-0.02343
0.00639	-0.02504
0.00639	-0.02069
0.00639	-0.02746
0.00639	-0.01989
0.00639	-0.02150
0.00639	-0.02214
0.00639	-0.02649
0.00639	-0.02665
0.00644	-0.01940
0.00644	-0.02585
0.00644	-0.02375
0.00644	-0.02182
0.00644	-0.02569
0.00644	-0.02472
0.00644	-0.02875
0.00644	-0.02118
0.00644	-0.02263
0.00644	-0.02794
0.00650	-0.02408
0.00650	-0.01844
0.00650	-0.02005
0.00650	-0.02391
0.00650	-0.02279
0.00650	-0.02488
0.00650	-0.02230
0.00650	-0.02891
0.00650	-0.02198
0.00656	-0.01957
0.00656	-0.02263
0.00656	-0.02327
0.00656	-0.02730
0.00656	-0.02263
0.00656	-0.02230
0.00656	-0.02021
0.00656	-0.02730
0.00656	-0.02295
0.00661	-0.02391
0.00661	-0.02327
0.00661	-0.02214
0.00661	-0.02118
0.00661	-0.02730
0.00661	-0.02843
0.00661	-0.02279
0.00661	-0.02681
0.00661	-0.02279
0.00661	-0.02617
0.00667	-0.02005
0.00667	-0.02247
0.00667	-0.02617
0.00667	-0.02391
0.00667	-0.02665
0.00667	-0.02520
0.00667	-0.01908
0.00667	-0.02472
0.00667	-0.02359
0.00667	-0.02214
0.00672	-0.02746
0.00672	-0.02375
0.00672	-0.02810
0.00672	-0.01940
0.00672	-0.02182
0.00672	-0.02698
0.00672	-0.02375
0.00672	-0.02118
0.00672	-0.02118
0.00672	-0.02601
0.00678	-0.02198
0.00678	-0.02746
0.00678	-0.02263
0.00678	-0.02150
0.00678	-0.02794
0.00678	-0.03036
0.00678	-0.02714
0.00678	-0.02198
0.00678	-0.02649
0.00683	-0.02021
0.00683	-0.02794
0.00683	-0.02408
0.00683	-0.02617
0.00683	-0.02214
0.00683	-0.02279
0.00683	-0.02875
0.00683	-0.02085
0.00683	-0.02988
0.00683	-0.02665
0.00683	-0.02569
0.00689	-0.02037
0.00689	-0.03181
0.00689	-0.02585
0.00689	-0.02134
0.00689	-0.02424
0.00689	-0.02730
0.00689	-0.02327
0.00689	-0.02295
0.00689	-0.02698
0.00689	-0.02069
0.00694	-0.02424
0.00694	-0.03036
0.00694	-0.02424
0.00694	-0.02536
0.00694	-0.02230
0.00694	-0.02440
0.00694	-0.02327
0.00694	-0.02923
0.00694	-0.02359
0.00694	-0.02408
0.00700	-0.02375
0.00700	-0.02472
0.00700	-0.02311
0.00700	-0.02891
0.00700	-0.02553
0.00700	-0.02826
0.00700	-0.03052
0.00700	-0.02279
0.00700	-0.02343
0.00700	-0.02504
0.00706	-0.02681
0.00706	-0.02150
0.00706	-0.02569
0.00706	-0.02504
0.00706	-0.02408
0.00706	-0.02408
0.00706	-0.02875
0.00706	-0.02214
0.00706	-0.02617
0.00706	-0.02553
0.00711	-0.02907
0.00711	-0.02295
0.00711	-0.02359
0.00711	-0.02891
0.00711	-0.02569
0.00711	-0.02166
0.00711	-0.02375
0.00711	-0.02263
0.00711	-0.02327
0.00711	-0.02665
0.00711	-0.02859
0.00717	-0.02633
0.00717	-0.02408
0.00717	-0.02569
0.00717	-0.02343
0.00717	-0.02601
0.00717	-0.02585
0.00717	-0.02714
0.00717	-0.02698
0.00717	-0.02263
0.00722	-0.02408
0.00722	-0.02359
0.00722	-0.02504
0.00722	-0.02875
0.00722	-0.02536
0.00722	-0.02230
0.00722	-0.02134
